Disease,Description
Syndrome douloureux régional complexe,"Le syndrome douloureux régional complexe (SDRC) est une affection douloureuse chronique touchant généralement un membre après une blessure, avec des symptômes incluant une douleur brûlante, un gonflement et une sensibilité au toucher."
Blessure au torse,"Une blessure au torse comprend un traumatisme de la poitrine, de l'abdomen ou du dos, impliquant éventuellement des organes internes, des muscles ou des os, pouvant aller de simples contusions à des dommages internes graves."
Vulvodynie,"La vulvodynie est une douleur ou un inconfort chronique autour de l'ouverture du vagin (la vulve) sans cause identifiable, souvent décrite comme une sensation de brûlure, de picotement ou d'irritation."
Commotion cérébrale,"Une commotion cérébrale est un traumatisme crânien léger causé par un coup à la tête ou au corps, entraînant une perte temporaire de la fonction cérébrale, telle qu'une confusion, une perte de mémoire ou des vertiges."
Hypoglycémie,"L'hypoglycémie est un état caractérisé par un taux de sucre dans le sang anormalement bas, provoquant souvent des tremblements, des sueurs, de la confusion, de l'irritabilité ou des évanouissements, fréquents chez les diabétiques sous insuline."
Hernie hiatale,"Une hernie hiatale se produit lorsque la partie supérieure de l'estomac remonte à travers le diaphragme dans la cavité thoracique, provoquant souvent des symptômes tels que des brûlures d'estomac, des reflux et des douleurs thoraciques."
Allergie,"Une allergie est une surréaction du système immunitaire à des substances telles que le pollen, la nourriture ou des médicaments, provoquant des éternuements, des démangeaisons, des éruptions cutanées ou un choc anaphylactique."
Bronchospasme aigu,"Le bronchospasme aigu est une constriction soudaine des muscles de la paroi des bronchioles, souvent déclenchée par l'asthme ou des allergènes, provoquant des sifflements et des difficultés respiratoires."
Discopathie dégénérative,"La discopathie dégénérative est une affection où les disques vertébraux se dégradent avec le temps, entraînant des maux de dos, une flexibilité réduite et parfois une compression nerveuse."
Douleur postopératoire,"La douleur postopératoire est un inconfort ou une sensibilité au niveau du site chirurgical, pouvant être due à une lésion tissulaire, à une inflammation ou au processus de guérison."
Blessure à la jambe,"Une blessure à la jambe comprend un traumatisme de n'importe quelle partie de la jambe telle que la cuisse, le genou, le tibia ou la cheville, pouvant impliquer des muscles, des os ou des ligaments."
Goutte,"La goutte est une forme d'arthrite inflammatoire causée par l'accumulation de cristaux d'acide urique dans les articulations, entraînant une douleur soudaine et sévère, des rougeurs et un gonflement, souvent au niveau du gros orteil."
Otite moyenne,"L'otite moyenne est une infection de l'oreille moyenne qui touche fréquemment les enfants, provoquant des douleurs à l'oreille, de la fièvre, de l'irritabilité et parfois un écoulement liquidien."
Insuffisance rénale aiguë,"L'insuffisance rénale aiguë est une perte soudaine de la fonction rénale due à une maladie, un traumatisme ou des toxines, entraînant l'accumulation de déchets dans le sang."
Menace de fausse couche,"Une menace de fausse couche désigne des complications précoces de la grossesse, telles que des saignements vaginaux ou des crampes, suggérant un risque de fausse couche alors que le fœtus est encore viable."
Gingivite (maladie des gencives),"La maladie des gingivites/parodontales est une infection et une inflammation des gencives et des tissus environnants, souvent causée par une mauvaise hygiène bucco-dentaire, entraînant des saignements, un recul des gencives et une perte dentaire."
Hémorragie gastro-intestinale,"Une hémorragie gastro-intestinale est un saignement qui se produit n'importe où le long du tube digestif, se manifestant souvent par des vomissements de sang ou des selles noires et goudronneuses, causée par des ulcères, des varices ou un cancer."
Anxiété,"L'anxiété est un problème de santé mentale caractérisé par un souci excessif, de la nervosité ou de la peur qui interfère avec les activités quotidiennes, souvent accompagnée de symptômes physiques comme l'agitation, les sueurs ou un rythme cardiaque rapide."
Conjonctivite allergique,"La conjonctivite allergique est une inflammation de la conjonctive (muqueuse de l'œil) causée par des allergènes comme le pollen ou la poussière, entraînant des yeux rouges, lents, larmoyants et qui démangent, sans écoulement infectieux."
Réaction indésirable à un médicament,"Une réaction médicamenteuse est une réponse indésirable à un médicament, allant de simples éruptions cutanées ou maux d'estomac à des réponses allergiques graves comme le syndrome de Stevens-Johnson ou l'anaphylaxie."
Dégénérescence maculaire (DMLA),"La dégénérescence maculaire est un trouble oculaire qui endommage la macula, la partie de la rétine responsable de la vision centrale, entraînant une vision floue ou une perte de vision centrale, généralement chez les personnes âgées."
Pneumonie,"La pneumonie est une infection des poumons causée par des bactéries, des virus ou des champignons, entraînant de la toux, de la fièvre, des douleurs thoraciques et des difficultés respiratoires dues à l'inflammation et au liquide dans les poumons."
Kyste vaginal,"Un kyste vaginal est un sac rempli de liquide qui se forme le long de la paroi vaginale, souvent bénin et asymptomatique, mais pouvant parfois causer de l'inconfort ou de la douleur s'il est hypertrophié ou infecté."
Syndrome du canal carpien,"Le syndrome du canal carpien est une affection causée par la compression du nerf médian dans le poignet, entraînant des engourdissements, des picotements et une faiblesse dans la main et les doigts."
Affection nasale,"Les troubles nasaux comprennent des problèmes structurels ou inflammatoires tels qu'une déviation de la cloison nasale, des polypes nasaux ou une rhinite, provoquant congestion, difficulté respiratoire ou saignements de nez."
Carie dentaire,"La carie dentaire est la destruction de l'émail des dents due aux acides produits par les bactéries se nourrissant de sucres, entraînant des cavités, des rages de dents et des infections si non traitées."
Cardiopathie hypertensive,"La cardiopathie hypertensive comprend des conditions causées par une hypertension artérielle chronique, telles que l'insuffisance cardiaque, l'épaississement du muscle cardiaque ou la maladie coronarienne."
Rhume des foins (rhinite allergique),"Les allergies saisonnières (rhume des foins) sont des réactions allergiques aux allergènes aériens comme le pollen, provoquant éternuements, congestion nasale, yeux qui démangent et irritation de la gorge, souvent à des saisons spécifiques."
Teigne du cuir chevelu,"L'infection fongique des cheveux (teigne) est une infection du cuir chevelu causée par des champignons dermatophytes, entraînant des plaques squameuses, une perte de cheveux et parfois des points noirs ou un gonflement."
Affection rectale,"Les troubles rectaux comprennent des conditions affectant le rectum telles que les hémorroïdes, les fissures ou le prolapsus, provoquant souvent de la douleur, des saignements ou des difficultés lors de la défécation."
Orgelet,"Un orgelet est une bosse rouge et douloureuse près du bord de la paupière causée par une infection bactérienne d'une glande sébacée, guérissant souvent d'elle-même ou avec des compresses chaudes."
Infarctus du myocarde (crise cardiaque),"Une crise cardiaque se produit lorsque le flux sanguin vers une partie du cœur est bloqué, entraînant des douleurs thoraciques, un essoufflement, des nausées et des dommages potentiellement mortels au muscle cardiaque."
Apnée obstructive du sommeil,"L'apnée obstructive du sommeil (AOS) est un trouble du sommeil où les muscles de la gorge se relâchant par intermittence bloquent les voies respiratoires, provoquant des pauses répétées dans la respiration pendant le sommeil et entraînant un mauvais repos et de la fatigue."
Psoriasis,"Le psoriasis est une affection cutanée auto-immune chronique provoquant une croissance rapide des cellules de la peau qui entraîne des plaques épaisses, squameuses et rouges, souvent sur les coudes, les genoux ou le cuir chevelu."
Arthrose de la hanche,"L'arthrose de la hanche implique une inflammation et une dégénérescence du cartilage de l'articulation de la hanche, entraînant douleur, raideur et mobilité réduite, communément due à l'arthrose."
Crise drépanocytaire,"La crise drépanocytaire est un épisode douloureux chez les personnes atteintes de drépanocytose, où les globules rouges déformés bloquent le flux sanguin, provoquant des douleurs intérieures sévères, de la fatigue et des dommages potentiels aux organes."
Otite externe (oreille du nageur),"L'otite externe est une infection du canal auditif externe, souvent due à l'eau piégée et aux bactéries, entraînant des douleurs auriculaires, des démangeaisons, un gonflement et un écoulement."
Bronchiolite aiguë,"La bronchiolite aiguë est une infection des voies respiratoires inférieures fréquente chez les nourrissons, généralement causée par le VRS, entraînant des sifflements, de la toux et des difficultés respiratoires."
Pyodermite (infection purulente de la peau),"Une infection cutanée pyogène est une infection bactérienne de la peau qui produit du pus, telle que des abcès, des furoncles ou de la cellulite, souvent causée par Staphylococcus aureus."
Gastro-entérite non infectieuse,"La gastro-entérite non infectieuse fait référence à l'inflammation de l'estomac et des intestins non causée par une infection, mais par des irritants tels que des médicaments, de l'alcool ou des intolérances alimentaires."
Hypertrophie bénigne de la prostate,"L'hypertrophie bénigne de la prostate (HBP) est une augmentation non cancéreuse de la glande prostatique chez les hommes âgés, provoquant des difficultés à uriner, un jet faible ou des mictions fréquentes, surtout la nuit."
Sténose spinale,"La sténose spinale est le rétrécissement du canal rachidien, souvent dû à l'arthrite ou à des problèmes de disques, entraînant des maux de dos, des engourdissements et une faiblesse dans les jambes."
Bronchite aiguë,"La bronchite aiguë est l'inflammation des bronches dans les poumons, généralement causée par une infection virale, entraînant de la toux, une production de mucus, une gêne thoracique et une fièvre modérée."
Croup,"Le croup est une infection virale qui provoque un gonflement des voies respiratoires chez les jeunes enfants, entraînant une toux aboyante, un enrouement et des difficultés respiratoires, souvent pires la nuit."
Règles anormalement abondantes,"Les règles anormalement abondantes font référence à des saignements menstruels anormalement lourds ou prolongés sans cause médicale sous-jacente identifiable."
Perforation du tympan,"Les dommages au tympan sont une déchirure ou un trou dans le tympan dus à une infection, un traumatisme ou un bruit fort, pouvant provoquer de la douleur, une perte auditive ou un écoulement."
Présence temporaire de sang dans les urines,"L'hématurie temporaire ou bénigne est la présence de sang dans les urines sans cause sous-jacente grave, parfois déclenchée par l'exercice, des médicaments ou des infections bénignes."
Rhume,"Le rhume est une infection virale des voies respiratoires supérieures, provoquant généralement des éternuements, des maux de gorge, une congestion nasale, de la toux et de la fièvre légère."
Dépression,"La dépression est un trouble de la santé mentale caractérisé par une tristesse persistante, une perte d'intérêt ou de plaisir, de la fatigue et des changements dans le sommeil ou l'appétit, impactant significativement la vie quotidienne."
Cycles menstruels irréguliers,"Les cycles menstruels irréguliers font référence à des règles incohérentes ou imprévisibles sans cause médicale claire, souvent liées à un déséquilibre hormonal."
Schizophrénie,"La schizophrénie est un trouble psychiatrique sévère impliquant des distorsions dans la pensée, la perception, les émotions, le langage et le comportement, souvent accompagnées d'hallucinations ou de délire."
Septicémie,"La septicémie est une réponse mortelle à une infection où le système immunitaire du corps provoque une inflammation généralisée, entraînant des lésions tissulaires, une défaillance d'organes et éventuellement la mort."
Cholécystite,"La cholécystite est l'inflammation de la vésicule biliaire, souvent due à des calculs biliaires, provoquant de graves douleurs abdominales supérieures, de la fièvre, des nausées et de la sensibilité."
Cystite,"La cystite est l'inflammation de la vessie, généralement due à une infection bactérienne, entraînant des mictions fréquentes et douloureuses et un inconfort abdominal inférieur."
Hémorroïdes,"Les hémorroïdes sont des veines enflées dans l'anus ou le rectum qui provoquent de la douleur, des démangeaisons, des saignements ou de l'inconfort lors des selles."
Eczéma de contact,"La dermatite de contact est une inflammation cutanée causée par l'exposition à un irritant ou à un allergène, entraînant rougeur, démangeaisons, cloques ou sécheresse."
Bradycardie sinusale,"La bradycardie sinusale est un rythme cardiaque plus lent que la normale provenant du nœud sinusal, qui peut être normal chez les athlètes ou causé par des médicaments ou des conditions médicales."
Maladie inflammatoire pelvienne,"La maladie inflammatoire pelvienne est une infection des organes reproducteurs féminins, souvent causée par des bactéries transmises sexuellement, entraînant des douleurs abdominales, de la fièvre et des pertes anormales."
Maladie du foie,"La maladie du foie fait référence à une gamme de troubles affectant le foie, tels que l'hépatite, la stéatose hépatique ou la cirrhose, pouvant provoquer une jaunisse, de la fatigue et un dysfonctionnement hépatique."
Constipation chronique,"La constipation chronique est une condition à long terme caractérisée par des selles rares ou difficiles, souvent accompagnées d'inconfort abdominal ou de ballonnements."
Polype cutané,"Un polype cutané est une petite excroissance bénigne de la peau qui apparaît généralement dans les zones où la peau frotte contre la peau, comme le cou, les aisselles ou l'aine."
Névrite brachiale,"La névrite brachiale est l'inflammation des nerfs du plexus brachial, provoquant une douleur soudaine à l'épaule et au bras suivie d'une faiblesse ou d'un engourdissement."
Œsophagite,"L'œsophagite est l'inflammation de l'œsophage, communément due à des reflux acides, des infections ou des médicaments, provoquant des douleurs lors de la déglutition et un inconfort thoracique."
Diverticulite,"La diverticulite est l'inflammation ou l'infection de petits sacs dans la paroi du côlon, entraînant des douleurs abdominales, de la fièvre et des changements dans les habitudes intestinales."
Entorse ou foulure,"Une entorse est un ligament étiré ou déchiré, tandis qu'une foulure est un muscle ou un tendon étiré ou déchiré ; les deux causent douleur, gonflement et mobilité limitée."
Règles douloureuses,"Les règles douloureuses (dysménorrhée) sont des crampes menstruelles sévères sans condition médicale identifiable, débutant souvent à l'adolescence."
Dysfonctionnement de la trompe d'Eustache,"Le dysfonctionnement de la trompe d'Eustache se produit lorsque le tube reliant l'oreille moyenne à la gorge est bloqué ou ne s'ouvre pas, provoquant pression, douleur ou problèmes auditifs."
Appendicite,"L'appendicite est l'inflammation de l'appendice, nécessitant généralement une chirurgie, et provoque des douleurs abdominales soudaines en bas à droite, des nausées et de la fièvre."
Hyperémèse gravidique,"L'hyperémèse gravidique est une forme sévère de nausées matinales pendant la grossesse, entraînant des nausées persistantes, des vomissements, une déshydratation et une perte de poids."
Infection urinaire,"Une infection urinaire est une infection dans n'importe quelle partie du système urinaire, communément la vessie, provoquant des douleurs lors de la miction, une urgence et des urines troubles ou malodorantes."
Neuropathie périphérique,"Les troubles des nerfs périphériques affectent les nerfs en dehors du cerveau et de la moelle épinière, entraînant des engourdissements, une faiblesse, des douleurs ou des problèmes de coordination."
Kyste sébacé,"Un kyste sébacé est une bosse non cancéreuse sous la peau, remplie d'une matière huileuse, souvent causée par des glandes sébacées bloquées."
Fausse couche spontanée,"L'avortement spontané est la perte d'une grossesse avant 20 semaines, souvent due à des problèmes génétiques ou à des causes inconnues, pouvant impliquer des saignements et des crampes."
Calcul biliaire,"Les calculs biliaires sont des dépôts durcis de liquide digestif dans la vésicule biliaire qui peuvent bloquer le flux biliaire, provoquant des douleurs abdominales, des nausées et parfois une infection."
Sclérose en plaques,"La sclérose en plaques est une auto-immune où le système immunitaire attaque la gaine protectrice des nerfs, entraînant une faiblesse, des problèmes de vision et des problèmes de coordination."
Angine de poitrine,"L'angine de poitrine est une douleur ou un inconfort thoracique dû à un flux sanguin réduit vers le muscle cardiaque, souvent déclenché par l'effort ou le stress, et soulagé par le repos ou les médicaments."
Trouble de la pigmentation de la peau,"Les troubles de la pigmentation de la peau impliquent des changements de couleur de la peau dus à un excès ou à un manque de mélanine, tels que le vitiligo, le mélasma ou l'hyperpigmentation."
Trouble de la personnalité,"Les troubles de la personnalité sont des conditions de santé mentale impliquant des schémas de pensée, de fonctionnement et de comportement rigides et malsains qui altèrent la vie sociale ou professionnelle."
Angine à streptocoque,"L'angine à streptocoque est une infection bactérienne de la gorge causée par Streptococcus pyogenes, entraînant maux de gorge, fièvre, ganglions enflés et amygdales rouges avec des taches blanches."
Trouble du développement,"Les troubles du développement sont des conditions chroniques qui débutent dans l'enfance et affectent les domaines physiques, d'apprentissage, du langage ou comportementaux, tels que l'autisme ou la déficience intellectuelle."
Lombalgie chronique,"Les maux de dos chroniques sont des douleurs persistantes ou récurrentes dans le dos durant plus de trois mois, souvent dues à des problèmes structurels, des lésions nerveuses ou des conditions dégénératives."
Insuffisance cardiaque,"L'insuffisance cardiaque est une condition où le cœur ne peut pas pomper le sang efficacement, entraînant de la fatigue, un essoufflement, une rétention d'eau et une capacité d'exercice réduite."
Conjonctivite,"La conjonctivite est l'inflammation de la conjonctive de l'œil due à une infection ou à une allergie, entraînant des rougeurs, des écoulements et une irritation oculaire."
Hernie discale,"Une hernie discale se produit lorsque le noyau gélatineux interne d'un disque rachidien sort à travers une déchirure, exerçant une pression sur les nerfs voisins et provoquant des maux de dos, des engourdissements ou une faiblesse."
Érythème fessier du nourrisson,"L'érythème fessier est une irritation cutanée dans la zone des couches chez les nourrissons ou les adultes utilisant des couches, souvent causée par l'humidité, la friction ou une infection."
Eczéma,"L'eczéma est une condition cutanée chronique qui provoque une peau qui démange, enflammée, rouge et sèche, souvent déclenchée par des allergènes, du stress ou des irritants."
