Disease,Diet
Allergie,"['Régime d''évitement (éviter les aliments allergènes)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Aliments riches en vitamine C (oranges, poivrons)', 'Aliments riches en quercétine (pommes, oignons)', 'Probiotiques (yaourt, kéfir)']"
Bronchospasme aigu,"['Aliments anti-inflammatoires (gingembre, curcuma)', 'Acides gras oméga-3 (saumon sauvage, graines de chia)', 'Aliments riches en vitamine C (agrumes)', 'Hydratation', 'Éviter les produits laitiers si augmentation du mucus']"
Discopathie dégénérative,"['Aliments riches en calcium (lait, fromage)', 'Aliments riches en vitamine D (poissons gras, jaune d''œuf)', 'Aliments anti-inflammatoires (baies, légumes verts)', 'Sources de magnésium (graines de courge, amandes)', 'Aliments riches en protéines (poulet, légumineuses)']"
Douleur postopératoire,"['Aliments riches en protéines (œufs, poisson)', 'Aliments riches en vitamine C (kiwi, fraises)', 'Aliments riches en zinc (bœuf, noix)', 'Aliments anti-inflammatoires (curcuma, gingembre)', 'Hydratation']"
Blessure à la jambe,"['Aliments riches en protéines (viandes maigres, haricots)', 'Aliments riches en vitamine C (oranges, fraises)', 'Aliments riches en zinc (fruits de mer, graines de courge)', 'Épices anti-inflammatoires (gingembre, curcuma)', 'Hydratation']"
Goutte,"['Aliments pauvres en purines (légumes, céréales complètes)', 'Cerises et baies', 'Hydratation', 'Limiter la viande rouge et les fruits de mer', 'Éviter l''alcool et les boissons sucrées']"
Otite moyenne,"['Liquides hydratants (eau, tisanes)', 'Aliments riches en vitamine C (agrumes)', 'Probiotiques (yaourt, kéfir)', 'Éviter les produits laitiers s''ils augmentent le mucus', 'Aliments anti-inflammatoires (gingembre, curcuma)']"
Insuffisance rénale aiguë,"['Régime pauvre en protéines (consulter un médecin)', 'Limiter le sodium (éviter les aliments transformés)', 'Régulation du potassium (bananes, pommes de terre – selon avis médical)', 'Surveillance de l''hydratation', 'Éviter les aliments riches en phosphore (produits laitiers, noix)']"
Menace de fausse couche,"['Aliments riches en acide folique (légumes verts, haricots)', 'Aliments riches en fer (viande rouge, lentilles)', 'Hydratation', 'Aliments équilibrés avec protéines (poulet, poisson)', 'Éviter l''alcool, la caféine et les poissons riches en mercure']"
Gingivite (maladie des gencives),"['Aliments riches en vitamine C (agrumes, fraises)', 'Aliments riches en calcium (lait, yaourt)', 'Thé vert', 'Éviter les aliments sucrés et collants', 'Acides gras oméga-3 (noix, graines de lin)']"
Hémorragie gastro-intestinale,"['Éviter les aliments épicés et acides', 'Régime fade (bananes, riz, compote de pommes)', 'Hydratation', 'Aliments riches en fer après saignement (épinards, haricots)', 'Éviter l''alcool et les AINS']"
Anxiété,"['Aliments riches en magnésium (noix, graines)', 'Acides gras oméga-3 (saumon, graines de chia)', 'Aliments riches en vitamine B (céréales complètes, œufs)', 'Probiotiques (kimchi, yaourt)', 'Limiter la caféine et le sucre']"
Conjonctivite allergique,"['Aliments riches en antihistaminiques (quercétine dans les pommes, oignons)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Aliments riches en vitamine C (agrumes)', 'Hydratation', 'Éviter les allergènes']"
Réaction indésirable à un médicament,"['Aliments équilibrés avec antioxydants (baies, légumes verts)', 'Hydratation', 'Éviter les aliments transformés et allergènes', 'Aliments riches en vitamines C et E (noix, graines, agrumes)', 'Consulter un médecin pour restrictions spécifiques']"
Dégénérescence maculaire (DMLA),"['Aliments riches en vitamine A (carottes, patates douces)', 'Aliments riches en lutéine et zéaxanthine (épinards, chou frisé)', 'Acides gras oméga-3 (poisson, noix)', 'Aliments riches en zinc (graines de courge, bœuf)', 'Aliments riches en antioxydants (myrtilles, agrumes)']"
Pneumonie,"['Liquides hydratants (eau, tisanes)', 'Aliments riches en protéines (poulet, haricots)', 'Aliments riches en vitamine C (oranges, brocoli)', 'Éviter les produits laitiers si le mucus s''aggrave', 'Aliments anti-inflammatoires (curcuma, gingembre)']"
Kyste vaginal,"['Probiotiques (yaourt, kéfir)', 'Aliments anti-inflammatoires (baies, légumes verts)', 'Hydratation', 'Éviter les irritants et les aliments transformés', 'Acides gras oméga-3 (saumon, graines de lin)']"
Syndrome du canal carpien,"['Aliments anti-inflammatoires (curcuma, gingembre)', 'Acides gras oméga-3 (graines de chia, saumon)', 'Aliments riches en magnésium (épinards, amandes)', 'Aliments riches en vitamine B6 (bananes, volaille)', 'Éviter l''excès de caféine et de sucre']"
Affection nasale,"['Hydratation', 'Aliments riches en vitamine C (agrumes, fraises)', 'Aliments riches en zinc (viande, graines)', 'Éviter les allergènes et irritants', 'Liquides chauds et aliments anti-inflammatoires (gingembre, miel)']"
Carie dentaire,"['Aliments riches en calcium (lait, fromage)', 'Aliments riches en vitamine D (poissons gras, céréales enrichies)', 'Limiter les aliments sucrés et collants', 'Fruits et légumes croquants (pommes, carottes)', 'Thé vert']"
Cardiopathie hypertensive,"['Régime pauvre en sodium (éviter les aliments transformés)', 'Aliments riches en potassium (bananes, patates douces)', 'Acides gras oméga-3 (saumon, noix)', 'Céréales complètes (riz brun, flocons d''avoine)', 'Limiter les graisses saturées (beurre, viandes grasses)']"
Rhume des foins (rhinite allergique),"['Aliments riches en quercétine (oignons, pommes)', 'Aliments riches en vitamine C (agrumes)', 'Acides gras oméga-3 (graines de lin, poisson)', 'Probiotiques (yaourt, kimchi)', 'Éviter les allergènes']"
Teigne du cuir chevelu,"['Aliments antifongiques (ail, huile de coco)', 'Probiotiques (yaourt, kéfir)', 'Aliments riches en vitamine E (noix, graines)', 'Aliments riches en zinc (bœuf, graines de courge)', 'Éviter le sucre et les aliments transformés']"
Affection rectale,"['Aliments riches en fibres (céréales complètes, fruits, légumes)', 'Hydratation', 'Éviter les aliments épicés et transformés', 'Probiotiques (yaourt, choucroute)', 'Limiter la caféine et l''alcool']"
Orgelet,"['Aliments riches en vitamine A (carottes, patates douces)', 'Aliments riches en vitamine C (agrumes)', 'Hydratation', 'Acides gras oméga-3 (saumon, graines de lin)', 'Éviter les irritants oculaires']"
Infarctus du myocarde (crise cardiaque),"['Régime pauvre en sodium (légumes, fruits frais)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Céréales complètes (riz brun, flocons d''avoine)', 'Protéines maigres (poulet, haricots)', 'Limiter les graisses saturées et trans (aliments transformés, frits)']"
Apnée obstructive du sommeil,"['Régime de gestion du poids (contrôle des calories)', 'Éviter l''alcool et les sédatifs', 'Aliments riches en fibres (céréales complètes, fruits)', 'Éviter les repas lourds avant le coucher', 'Hydratation']"
Psoriasis,"['Aliments anti-inflammatoires (curcuma, gingembre, baies)', 'Acides gras oméga-3 (saumon, noix)', 'Aliments riches en vitamine D (jaune d''œuf, céréales enrichies)', 'Éviter le gluten en cas de sensibilité', 'Hydratation']"
Arthrose de la hanche,"['Aliments anti-inflammatoires (huile d''olive, curcuma, baies)', 'Acides gras oméga-3 (poisson, graines de lin)', 'Aliments riches en calcium (produits laitiers, légumes verts)', 'Aliments riches en vitamine D (lait enrichi, jaune d''œuf)', 'Régime de maintien d''un poids santé']"
Crise drépanocytaire,"['Aliments riches en folate (légumes verts, légumineuses)', 'Liquides hydratants (eau, tisanes)', 'Aliments riches en fer (viandes maigres, haricots)', 'Aliments riches en vitamine B6 (bananes, volaille)', 'Apport protéique équilibré']"
Otite externe (oreille du nageur),"['Hydratation', 'Éviter les irritants et allergènes', 'Aliments riches en vitamine C (agrumes, poivrons)', 'Aliments anti-inflammatoires (curcuma, gingembre)', 'Probiotiques (yaourt, kéfir)']"
Bronchiolite aiguë,"['Hydratation (eau, tisanes)', 'Aliments riches en vitamine C (oranges, fraises)', 'Aliments riches en protéines (poulet, haricots)', 'Éviter les produits laitiers si le mucus augmente', 'Aliments anti-inflammatoires (gingembre, curcuma)']"
Pyodermite (infection purulente de la peau),"['Aliments riches en protéines (viande maigre, œufs)', 'Aliments riches en vitamine C (agrumes, kiwi)', 'Aliments riches en zinc (graines de courge, noix)', 'Hydratation', 'Éviter les aliments sucrés et transformés']"
Gastro-entérite non infectieuse,"['Régime fade (bananes, riz, compote de pommes)', 'Hydratation', 'Éviter les aliments épicés, gras et laitiers', 'Probiotiques (yaourt, kéfir)', 'Petits repas fréquents']"
Hypertrophie bénigne de la prostate,"['Hydratation', 'Limiter la caféine et l''alcool', 'Aliments riches en zinc (graines de courge, bœuf)', 'Tomates (lycopène)', 'Aliments riches en fibres (céréales complètes, fruits, légumes)']"
Sténose spinale,"['Aliments anti-inflammatoires (baies, légumes verts)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Aliments riches en calcium (lait, fromage)', 'Aliments riches en vitamine D (jaune d''œuf, céréales enrichies)', 'Aliments riches en protéines (poulet, légumineuses)']"
Bronchite aiguë,"['Hydratation', 'Aliments riches en vitamine C (agrumes, poivrons)', 'Éviter les produits laitiers si le mucus augmente', 'Aliments anti-inflammatoires (gingembre, curcuma)', 'Aliments riches en protéines (poulet, haricots)']"
Croup,"['Hydratation', 'Air humidifié', 'Aliments riches en vitamine C (oranges, fraises)', 'Éviter les produits laitiers si le mucus s''aggrave', 'Aliments mous et faciles à avaler (soupes, smoothies)']"
Règles anormalement abondantes,"['Aliments riches en fer (épinards, viande rouge)', 'Aliments riches en vitamine C (oranges, poivrons)', 'Hydratation', 'Éviter la caféine et l''alcool', 'Aliments riches en fibres (céréales complètes, fruits)']"
Perforation du tympan,"['Aliments riches en protéines (viandes maigres, œufs)', 'Aliments riches en vitamine C (agrumes, brocoli)', 'Aliments riches en zinc (fruits de mer, graines de courge)', 'Hydratation', 'Éviter les irritants']"
Présence temporaire de sang dans les urines,"['Hydratation', 'Éviter les irritants (aliments épicés, caféine)', 'Régime équilibré avec fruits et légumes', 'Limiter le sodium et les aliments transformés', 'Consulter un médecin pour recommandations spécifiques']"
Rhume,"['Hydratation (eau, tisanes)', 'Aliments riches en vitamine C (agrumes, kiwi)', 'Aliments riches en zinc (noix, graines)', 'Soupe au poulet', 'Éviter les produits laitiers si le mucus augmente']"
Dépression,"['Acides gras oméga-3 (saumon, noix)', 'Aliments riches en vitamine D (jaune d''œuf, céréales enrichies)', 'Glucides complexes (céréales complètes, légumineuses)', 'Aliments riches en folate (légumes verts, haricots)', 'Limiter les sucres transformés et la caféine']"
Cycles menstruels irréguliers,"['Régime équilibré avec protéines (poulet, haricots)', 'Aliments riches en fer (épinards, lentilles)', 'Aliments riches en vitamine B6 (bananes, volaille)', 'Hydratation', 'Éviter la caféine et les aliments riches en sucre']"
Schizophrénie,"['Acides gras oméga-3 (poisson, graines de lin)', 'Glucides complexes (céréales complètes, légumes)', 'Aliments riches en vitamines B (œufs, noix)', 'Aliments riches en antioxydants (baies, agrumes)', 'Limiter la caféine et les aliments transformés']"
Septicémie,"['Aliments riches en protéines (œufs, viande maigre)', 'Hydratation', 'Aliments riches en vitamine C et zinc (agrumes, graines de courge)', 'Apport en électrolytes équilibré', 'Consulter un médecin pour un soutien nutritionnel spécifique']"
Cholécystite,"['Régime pauvre en graisses (protéines maigres, légumes)', 'Éviter les aliments frits et gras', 'Aliments riches en fibres (céréales complètes, fruits)', 'Hydratation', 'Petits repas fréquents']"
Cystitis,"['Hydratation (eau, jus de canneberge)', 'Éviter la caféine et l''alcool', 'Aliments riches en vitamine C (oranges, fraises)', 'Probiotiques (yaourt, kéfir)', 'Éviter les aliments épicés et acides']"
Hémorroïdes,"['Aliments riches en fibres (céréales complètes, fruits, légumes)', 'Hydratation', 'Éviter les efforts excessifs et la constipation', 'Limiter la caféine et l''alcool', 'Probiotiques (yaourt, kimchi)']"
Eczéma de contact,"['Éviter les aliments allergènes', 'Aliments anti-inflammatoires (curcuma, gingembre)', 'Liquides hydratants', 'Aliments riches en vitamine E (noix, graines)', 'Probiotiques (aliments fermentés)']"
Bradycardie sinusale,"['Régime équilibré avec électrolytes adéquats (potassium des bananes, magnésium des noix)', 'Hydratation', 'Limiter la caféine et l''alcool', 'Céréales complètes et protéines maigres', 'Consulter un cardiologue']"
Maladie inflammatoire pelvienne,"['Hydratation', 'Aliments riches en protéines (poulet, haricots)', 'Aliments riches en vitamine C (agrumes)', 'Éviter les irritants et les aliments transformés', 'Probiotiques (yaourt, kéfir)']"
Maladie du foie,"['Régime pauvre en sodium (éviter les aliments transformés)', 'Aliments riches en protéines (œufs, viandes maigres)', 'Aliments riches en vitamines (légumes verts, fruits)', 'Éviter l''alcool et les graisses saturées', 'Hydratation']"
Constipation chronique,"['Aliments riches en fibres (céréales complètes, fruits, légumes)', 'Hydratation', 'Probiotiques (yaourt, kimchi)', 'Limiter les aliments transformés et gras', 'Repas réguliers et activité physique']"
Polype cutané,"['Régime équilibré avec antioxydants (baies, légumes verts)', 'Aliments riches en vitamine A (carottes, patates douces)', 'Hydratation', 'Éviter les aliments transformés et frits', 'Acides gras oméga-3 (poisson, graines de lin)']"
Névrite brachiale,"['Aliments riches en protéines (poulet, haricots)', 'Aliments anti-inflammatoires (curcuma, gingembre)', 'Acides gras oméga-3 (saumon, noix)', 'Complexe de vitamines B (céréales complètes, œufs)', 'Hydratation']"
Œsophagite,"['Régime doux et fade (bananes, compote de pommes, flocons d''avoine)', 'Éviter les aliments épicés, acides et gras', 'Petits repas fréquents', 'Hydratation', 'Éviter la caféine et l''alcool']"
Diverticulite,"['Régime pauvre en fibres pendant la crise (pain blanc, riz blanc)', 'Hydratation', 'Augmentation graduelle vers un régime riche en fibres (fruits, légumes, céréales complètes)', 'Éviter les noix et les graines pendant les crises', 'Probiotiques']"
Entorse ou foulure,"['Aliments riches en protéines (viande maigre, œufs)', 'Aliments anti-inflammatoires (gingembre, curcuma)', 'Aliments riches en vitamine C (agrumes)', 'Hydratation', 'Aliments riches en zinc (noix, graines)']"
Règles douloureuses,"['Aliments riches en magnésium (épinards, chocolat noir)', 'Acides gras oméga-3 (saumon, noix)', 'Hydratation', 'Éviter les aliments salés et transformés', 'Thé au gingembre et au curcuma']"
Dysfonctionnement de la trompe d'Eustache,"['Aliments anti-inflammatoires (baies, légumes verts)', 'Aliments riches en vitamine C (oranges, poivrons)', 'Hydratation', 'Éviter les produits laitiers si la congestion empire', 'Probiotiques (yaourt)']"
Appendicite,"['Post-chirurgie : aliments mous (bouillons, riz, compote de pommes)', 'Hydratation', 'Éviter les aliments riches en graisses et épicés', 'Introduire progressivement les fibres (légumes, fruits)', 'Probiotiques']"
Hyperémèse gravidique,"['Petits repas fréquents', 'Aliments fades (biscuits salés, riz)', 'Thé au gingembre', 'Aliments riches en vitamine B6 (bananes, pois chiches)', 'Hydratation avec électrolytes (SRO, eau de coco)']"
Infection urinaire,"['Hydratation (eau, jus de canneberge)', 'Éviter la caféine, l''alcool et les aliments épicés', 'Aliments riches en vitamine C (agrumes, poivrons)', 'Probiotiques (yaourt, kéfir)', 'Aliments riches en fibres']"
Neuropathie périphérique,"['Aliments riches en vitamines B (céréales complètes, œufs, légumes verts)', 'Acides gras oméga-3 (saumon, graines de chia)', 'Aliments anti-inflammatoires (curcuma, baies)', 'Hydratation']"
Kyste sébacé,"['Aliments anti-inflammatoires (gingembre, curcuma, légumes verts)', 'Aliments riches en zinc (graines de courge, noix)', 'Aliments riches en vitamine A (carottes, patates douces)', 'Hydratation']"
Fausse couche spontanée,"['Aliments riches en fer (viande rouge, épinards)', 'Vitamine C (agrumes, fraises)', 'Aliments riches en folate (légumes, légumes verts foncés)', 'Hydratation', 'Tisanes réconfortantes']"
Calcul biliaire,"['Régime pauvre en graisses (légumes cuits à la vapeur, viandes maigres)', 'Aliments riches en fibres (céréales complètes, pommes)', 'Éviter les aliments frits et glucides raffinés', 'Hydratation', 'Petits repas fréquents']"
Sclérose en plaques,"['Acides gras oméga-3 (graines de lin, saumon)', 'Aliments riches en vitamine D (œufs, lait enrichi)', 'Aliments riches en antioxydants (baies, épinards)', 'Limiter les graisses saturées', 'Probiotiques']"
Angine de poitrine,"['Régime bon pour le cœur (avoine, huile d''olive, poisson)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Aliments pauvres en sodium', 'Fruits et légumes', 'Éviter les graisses trans et la viande rouge']"
Trouble de la pigmentation de la peau,"['Aliments riches en vitamine C (oranges, poivrons)', 'Aliments riches en vitamine E (amandes, graines de tournesol)', 'Bêta-carotène (carottes, patates douces)', 'Hydratation', 'Thé vert']"
Trouble de la personnalité,"['Régime équilibré', 'Acides gras oméga-3 (noix, graines de lin)', 'Complexe de vitamines B (œufs, légumineuses)', 'Aliments riches en magnésium (chocolat noir, épinards)', 'Éviter le sucre et les aliments transformés']"
Angine à streptocoque,"['Aliments mous (soupes, purée de pommes de terre)', 'Thés chauds (gingembre, camomille)', 'Hydratation', 'Éviter les aliments acides ou épicés', 'Aliments riches en vitamine C (oranges, fraises)']"
Trouble du développement,"['Régime équilibré et dense en nutriments', 'Acides gras oméga-3 (poisson, graines de lin)', 'Vitamines B (céréales complètes, viande)', 'Aliments riches en fibres', 'Limiter le sucre et les additifs artificiels']"
Lombalgie chronique,"['Aliments anti-inflammatoires (baies, curcuma)', 'Calcium et vitamine D (lait, fromage, œufs)', 'Aliments riches en magnésium (noix, légumes verts)', 'Oméga-3 (saumon)']"
Insuffisance cardiaque,"['Régime pauvre en sodium', 'Surveillance des liquides', 'Aliments riches en potassium (bananes, patates douces)', 'Acides gras oméga-3 (poisson)', 'Éviter la viande rouge et les graisses saturées']"
Conjonctivite,"['Aliments riches en vitamine A (carottes, épinards)', 'Aliments riches en zinc (graines de courge)', 'Hydratation', 'Probiotiques (yaourt)', 'Éviter les produits laitiers en cas d''allergie']"
Hernie discale,"['Régime anti-inflammatoire (gingembre, légumes verts)', 'Acides gras oméga-3 (poisson, graines de lin)', 'Vitamine D et calcium (aliments enrichis, lait)', 'Hydratation']"
Érythème fessier du nourrisson,"['Allaitement (pour les nourrissons)', 'Pour les bébés plus âgés : Éviter les aliments acides (tomates, agrumes)', 'Probiotiques (yaourt)', 'Aliments riches en zinc (œufs, viande)', 'Hydratation']"
Eczéma,"['Aliments anti-inflammatoires (curcuma, myrtilles)', 'Acides gras oméga-3 (saumon, graines de chia)', 'Éviter les aliments allergènes (produits laitiers, gluten)', 'Probiotiques', 'Vitamine D (œufs, champignons)']"
