Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Dégénérescence maculaire (DMLA),Porter des lunettes de soleil,Manger des légumes verts,Éviter de fumer,Faire des examens oculaires réguliers
Pneumonie,Suivre tout le traitement antibiotique,Éviter de fumer,Se reposer adéquatement,Rester hydraté
Kyste vaginal,Maintenir une bonne hygiène génitale,Éviter les vêtements moulants,Faire des bains de siège tièdes,Suivre les conseils du médecin
Syndrome du canal carpien,Faire des pauses fréquentes pour les mains,Utiliser des attelles de poignet,Éviter les mouvements répétés,Faire des exercices d'étirement
Affection nasale,Éviter de se gratter le nez,Garder les voies nasales humides,Utiliser des sprays salins,Éviter les irritants et allergènes
Carie dentaire,Se brosser les dents deux fois par jour,Limiter la consommation de sucre,Visiter le dentiste régulièrement,Passer le fil dentaire quotidiennement
Cardiopathie hypertensive,Réduire la consommation de sel,Surveiller sa tension artérielle,Faire de l'exercice régulièrement,Prendre des médicaments antihypertenseurs
Rhume des foins (rhinite allergique),Fermer les fenêtres en cas de pic de pollen,Prendre une douche après avoir été dehors,Utiliser un purificateur d'air,Prendre des antihistaminiques
Teigne du cuir chevelu,Garder le cuir chevelu sec et propre,Éviter de partager ses effets personnels,Utiliser un shampooing antifongique,Maintenir une bonne hygiène
Affection rectale,Avoir un régime riche en fibres,Boire beaucoup d'eau,Éviter les efforts pendant les selles,Utiliser des bains de siège
Orgelet,Appliquer une compresse chaude,Éviter de toucher ou de percer,Maintenir l'hygiène des paupières,Arrêter temporairement le maquillage des yeux
Infarctus du myocarde (crise cardiaque),Prendre les médicaments prescrits,Éviter le stress,Avoir une alimentation bonne pour le cœur,Surveiller son cholestérol et sa tension
Apnée obstructive du sommeil,Maintenir un poids santé,Utiliser une machine CPAC si prescrit,Éviter l'alcool avant de dormir,Dormir sur le côté
Psoriasis,Garder la peau hydratée,Éviter les déclencheurs comme le stress,Utiliser les crèmes prescrites,Éviter de se gratter
Arthrose de la hanche,Faire des exercices à faible impact,Utiliser des aides à la marche si besoin,Maintenir un poids santé,Prendre des anti-inflammatoires
Crise drépanocytaire,Rester hydraté,Éviter les températures extrêmes,Prévenir les infections,Prendre régulièrement les médicaments prescrits
Otite externe (oreille du nageur),Sécher les oreilles après la baignade,Éviter d'insérer des objets dans les oreilles,Utiliser les gouttes auriculaires prescrites,Éviter les plans d'eau sales
Bronchiolite aiguë,Maintenir l'enfant hydraté,Utiliser un humidificateur,Éviter l'exposition à la fumée,Surveiller la respiration
Pyodermite (infection purulente de la peau),Garder la plaie propre et sèche,Éviter de se gratter,Prendre les antibiotiques prescrits,Couvrir la zone infectée
Gastro-entérite non infectieuse,Éviter les aliments irritants,Rester hydraté,Avoir un régime fade,Bien se reposer
Hypertrophie bénigne de la prostate,Limiter les liquides le soir,Éviter l'alcool et la caféine,Vider complètement sa vessie,Suivre l'urologue
Sténose spinale,Éviter les activités à fort impact,Utiliser un soutien à la marche,Faire de la kinésithérapie,Prendre des anti-inflammatoires
Bronchite aiguë,Éviter de fumer,Boire des liquides chauds,Utiliser des suppresseurs de toux si besoin,Se reposer et récupérer
Croup,Utiliser de l'air humidifié,Garder l'enfant calme,Encourager l'hydratation,Consulter un médecin en cas de difficulté respiratoire
Règles anormalement abondantes,Utiliser une protection sanitaire,Surveiller la perte de sang,Avoir une alimentation riche en fer,Consulter un gynécologue
Perforation du tympan,Éviter l'entrée d'eau dans l'oreille,Ne pas insérer d'objets dans l'oreille,Utiliser des gouttes auriculaires prescrites,Consulter un ORL
Présence temporaire de sang dans les urines,Rester hydraté,Éviter les efforts intenses,Éviter certains médicaments (selon avis médical),Suivi avec le médecin
Rhume,Boire beaucoup de liquides,Bien se reposer,Utiliser des décongestionnants nasaux,Pratiquer une bonne hygiène
Dépression,Maintenir un lien social,Suivre le plan de traitement,Faire de l'exercice régulièrement,Éviter l'alcool et les drogues
Cycles menstruels irréguliers,Tenir un journal menstruel,Maintenir un poids santé,Réduire le stress,Consulter un gynécologue
Schizophrénie,Adhérer au traitement médicamenteux,Éviter l'abus de substances,Assister aux séances de thérapie,Construire un réseau de soutien
Septicémie,Consulter un médecin d'urgence,Suivre le traitement antibiotique,Surveiller la température et les constantes,Maintenir une bonne hygiène
Cholécystite,Éviter les aliments gras,Rester hydraté,Faire des examens de suivi,Prendre les antibiotiques prescrits
Cystitis,Boire du jus de canneberge ou de l'eau,Uriner fréquemment,Éviter les irritants comme la caféine,S'essuyer d'avant en arrière
Hémorroïdes,Manger des aliments riches en fibres,Éviter la position assise prolongée,Rester hydraté,Utiliser des bains de siège
Eczéma de contact,Identifier et éviter l'allergène,Utiliser des produits sans parfum,Appliquer une lotion apaisante,Porter des gants si nécessaire
Bradycardie sinusale,Éviter les efforts physiques excessifs,Surveillance cardiaque régulière,Suivi avec un cardiologue,Gérer l'équilibre électrolytique
Maladie inflammatoire pelvienne,Terminer tout le traitement antibiotique,Éviter les rapports sexuels pendant le traitement,Pratiquer des rapports protégés,Assister aux rendez-vous de suivi
Maladie du foie,Éviter l'alcool,Avoir une alimentation adaptée au foie,Se faire vacciner contre l'hépatite,Surveiller les tests de fonction hépatique
Constipation chronique,Augmenter l'apport en fibres,Faire de l'exercice régulièrement,Rester hydraté,Éviter de retenir ses selles
Polype cutané,Éviter l'irritation ou les blessures sur la zone,Surveiller la taille et l'apparence,Ne pas l'auto-retirer,Consulter un médecin
Névrite brachiale,Éviter de porter des charges lourdes,Faire de la kinésithérapie,Gérer la douleur avec des médicaments,Avoir un repos adéquat
Œsophagite,Éviter les aliments épicés et acides,Faire des repas plus petits,Rester assis après avoir mangé,Suivre le traitement prescrit
Diverticulite,Manger pauvre en fibres pendant les crises,Rester hydraté,Prendre des antibiotiques si prescrits,Éviter les graines et les noix si conseillé
Entorse ou foulure,Mettre la zone au repos,Appliquer des poches de glace,Compresser avec un bandage,Surélever le membre
Règles douloureuses,Utiliser des bouillottes chaudes,Prendre des antispasmodiques ou AINS,Faire de l'exercice régulièrement,Éviter le stress
Dysfonctionnement de la trompe d'Eustache,Éviter de prendre l'avion en cas de rhume,Utiliser des décongestionnants,Effectuer la manœuvre de Valsalva,Rester hydraté
Appendicite,Éviter de prendre des laxatifs,Consulter les urgences,Ne rien manger ni boire avant la chirurgie,Suivre les instructions post-opératoires
Hyperémèse gravidique,Prendre de petits repas fréquents,Rester hydraté,Éviter les odeurs fortes,Prendre les anti-nauséeux prescrits
Infection urinaire,Boire beaucoup de liquides,Uriner après les rapports sexuels,S'essuyer d'avant en arrière,Terminer le traitement antibiotique
Neuropathie périphérique,Éviter les blessures répétitives,Utiliser des outils ergonomiques,Prendre des vitamines B en cas de carence,Suivre les conseils du neurologue
Kyste sébacé,Garder la zone propre,Éviter de presser,Appliquer une compresse chaude,Se faire drainer par un médecin si besoin
Fausse couche spontanée,Bénéficier d'un soutien émotionnel,Se reposer adéquatement,Éviter les activités intenses,Faire un contrôle de suivi
Calcul biliaire,Éviter les aliments riches en graisses,Maintenir un poids santé,Faire des repas réguliers,Suivre une évaluation chirurgicale si besoin
Sclérose en plaques,Éviter la surchauffe,Suivre le calendrier des médicaments,Rester physiquement actif,Se reposer si nécessaire
Angine de poitrine,Éviter le surmenage,Prendre la nitroglycérine prescrite,Gérer le stress,Éviter l'exposition au froid
Trouble de la pigmentation de la peau,Utiliser de la crème solaire quotidiennement,Éviter les irritants cutanés,Suivre les traitements dermatologiques,Rester hydraté
Trouble de la personnalité,Suivre le plan de psychothérapie,Éviter l'usage de substances,Construire des relations saines,Maintenir des routines régulières
Angine à streptocoque,Terminer le traitement antibiotique,Éviter de partager les ustensiles,Avoir un repos adéquat,Boire des liquides chauds
Trouble du développement,Suivre des plans d'éducation individualisés,Encourager une routine structurée,Thérapie régulière,Fournir un renforcement positif
Lombalgie chronique,Maintenir une bonne posture,Faire des étirements réguliers,Utiliser un mobilier ergonomique,Éviter de soulever des objets lourds
Insuffisance cardiaque,Surveiller ses apports en liquides,Suivre un régime pauvre en sodium,Prendre les médicaments prescrits,Suivre son poids quotidiennement
Conjonctivite,Utiliser les collyres prescrits,Éviter de se toucher ou se frotter les yeux,Se laver les mains fréquemment,Ne pas partager ses serviettes
Hernie discale,Éviter de soulever des objets lourds,Suivre une kinésithérapie,Avoir une bonne posture,Prendre les médicaments prescrits
Érythème fessier du nourrisson,Garder la zone sèche,Changer les couches fréquemment,Appliquer des crèmes protectrices,Éviter les produits parfumés
Eczéma,Hydrater régulièrement,Éviter les irritants comme les savons et la laine,Utiliser des crèmes à base de corticoïdes,Réduire le stress
